,ST_CASE,FATALS,PERSONS,MONTH,MAN_COLL,VSPD_LIM,LGT_COND,WEATHER,VSURCOND,STATE,DRUNK_DR,rate,rate_numerical,arrival_time
0,10001,1,1,1,0,55,2,1,1,1,1,high,1.0,18.0
1,10002,1,1,1,0,70,2,10,2,1,0,high,1.0,7.0
2,10003,1,2,1,0,55,2,1,1,1,1,low,0.5,20.0
3,10004,1,1,1,0,55,2,10,1,1,1,high,1.0,42.0
4,10005,1,2,1,6,65,1,1,1,1,0,low,0.5,7.0
5,10006,1,2,1,0,45,1,1,1,1,0,low,0.5,18.0
6,10007,1,2,1,0,98,3,1,1,1,0,low,0.5,5.0
7,10008,1,1,1,0,35,2,2,2,1,0,high,1.0,18.0
8,10009,1,1,1,0,35,1,10,1,1,0,high,1.0,3.0
9,10010,1,2,1,2,45,2,1,1,1,0,low,0.5,16.0
10,10011,1,2,1,7,60,2,1,1,1,0,low,0.5,25.0
11,10012,1,6,1,6,50,1,1,1,1,0,low,0.16666666666666666,6.0
12,10013,1,1,1,0,45,1,1,1,1,1,high,1.0,16.0
13,10014,1,1,1,0,55,1,10,1,1,1,high,1.0,25.0
14,10015,1,1,1,0,45,1,1,1,1,0,high,1.0,10.0
15,10016,1,2,1,6,45,3,10,1,1,0,low,0.5,10.0
16,10017,1,1,1,0,45,1,10,1,1,0,high,1.0,20.0
17,10018,1,2,1,0,40,2,1,1,1,1,low,0.5,8.0
18,10019,1,1,1,0,30,2,1,1,1,0,high,1.0,17.0
19,10020,1,3,1,6,45,2,2,2,1,0,low,0.3333333333333333,15.0
20,10021,1,4,1,1,70,1,2,2,1,0,low,0.25,5.0
21,10022,1,2,1,0,70,2,1,1,1,0,low,0.5,25.0
22,10023,1,1,1,0,55,2,5,2,1,1,high,1.0,9.0
23,10024,1,1,1,0,45,4,1,1,1,0,high,1.0,5.0
24,10025,2,2,1,0,45,2,1,1,1,1,high,1.0,9.0
25,10026,1,1,1,0,45,1,10,1,1,0,high,1.0,12.0
26,10027,1,3,1,6,45,1,1,1,1,0,low,0.3333333333333333,20.0
27,10028,1,1,1,0,55,2,1,1,1,1,high,1.0,13.0
28,10029,1,1,1,0,65,2,2,2,1,0,high,1.0,10.0
29,10030,5,5,1,2,55,1,1,1,1,0,high,1.0,6.0
30,10031,1,1,1,0,45,5,1,1,1,0,high,1.0,9.0
31,10032,1,1,1,0,40,4,1,1,1,1,high,1.0,5.0
32,10033,2,2,1,0,45,3,2,2,1,1,high,1.0,16.0
33,10034,1,10,1,1,45,1,10,2,1,1,low,0.1,19.0
34,10035,1,2,1,6,55,1,1,1,1,0,low,0.5,5.0
35,10036,2,5,1,6,55,1,1,1,1,0,low,0.4,5.0
36,10037,1,1,1,0,35,1,1,1,1,0,high,1.0,4.0
37,10038,1,1,1,0,25,1,1,1,1,0,high,1.0,20.0
38,10039,1,1,1,0,45,2,1,1,1,1,high,1.0,20.0
39,10040,1,1,1,0,30,1,1,1,1,0,high,1.0,4.0
40,10041,1,1,1,0,45,2,1,1,1,1,high,1.0,17.0
41,10042,1,2,1,0,65,2,1,1,1,0,low,0.5,9.0
42,10043,1,1,2,0,45,2,10,2,1,0,high,1.0,4.0
43,10044,1,2,1,0,70,3,1,1,1,0,low,0.5,20.0
44,10045,1,1,1,0,65,1,1,1,1,0,high,1.0,17.0
45,10046,1,1,2,0,70,6,1,1,1,0,high,1.0,21.0
46,10047,1,2,1,0,30,2,1,1,1,1,low,0.5,11.0
47,10048,2,4,1,0,55,2,1,1,1,0,low,0.5,16.0
48,10049,1,2,1,6,25,6,1,1,1,0,low,0.5,11.0
49,10050,1,1,1,0,45,2,1,1,1,0,high,1.0,13.0
50,10051,1,5,2,6,45,1,2,2,1,0,low,0.2,10.0
51,10052,1,1,2,0,55,2,2,2,1,0,high,1.0,8.0
52,10053,1,3,2,0,55,2,2,2,1,0,low,0.3333333333333333,6.0
53,10054,1,2,2,1,65,5,1,1,1,0,low,0.5,13.0
54,10055,1,1,2,0,50,2,1,1,1,0,high,1.0,46.0
55,10056,1,1,2,0,55,2,1,1,1,1,high,1.0,15.0
56,10057,1,3,2,1,65,2,1,1,1,0,low,0.3333333333333333,6.0
57,10058,1,3,2,0,0,1,1,0,1,0,low,0.3333333333333333,38.0
58,10059,1,1,2,0,65,2,1,1,1,0,high,1.0,7.0
59,10060,1,7,2,6,55,2,10,1,1,0,low,0.14285714285714285,4.0
60,10061,1,3,2,0,55,2,1,1,1,1,low,0.3333333333333333,13.0
61,10062,1,1,2,0,60,1,1,1,1,0,high,1.0,33.0
62,10063,1,3,2,0,65,2,1,1,1,1,low,0.3333333333333333,12.0
63,10064,1,1,2,0,65,2,1,1,1,0,high,1.0,6.0
64,10065,1,2,1,1,55,1,1,1,1,0,low,0.5,20.0
65,10066,1,2,2,0,55,3,10,1,1,1,low,0.5,15.0
66,10067,1,8,2,2,55,1,1,1,1,0,low,0.125,10.0
67,10068,1,1,2,0,45,2,1,1,1,0,high,1.0,8.0
68,10069,1,2,2,0,35,3,1,1,1,1,low,0.5,11.0
69,10070,1,1,2,0,45,2,2,2,1,1,high,1.0,15.0
70,10071,1,4,2,2,45,6,3,4,1,0,low,0.25,25.0
71,10072,1,1,2,0,50,3,1,1,1,0,high,1.0,8.0
72,10073,1,1,2,0,50,2,1,1,1,0,high,1.0,7.0
73,10074,1,4,2,0,60,3,1,1,1,0,low,0.25,56.0
74,10075,1,4,2,8,55,2,1,1,1,1,low,0.25,5.0
75,10076,1,1,2,0,55,1,1,1,1,0,high,1.0,8.0
76,10077,1,1,2,0,45,2,10,1,1,0,high,1.0,3.0
77,10078,1,1,2,0,50,1,10,1,1,0,high,1.0,5.0
78,10079,1,2,3,0,70,2,1,1,1,1,low,0.5,6.0
79,10080,1,1,2,0,40,1,1,1,1,1,high,1.0,10.0
80,10081,1,4,2,1,55,1,4,10,1,1,low,0.25,9.0
81,10082,1,1,2,0,55,2,1,1,1,0,high,1.0,7.0
82,10083,4,4,3,6,35,3,1,1,1,2,high,1.0,35.0
83,10084,1,3,3,1,55,1,1,1,1,1,low,0.3333333333333333,4.0
84,10085,1,1,3,0,65,1,1,1,1,1,high,1.0,5.0
85,10086,1,4,3,6,55,3,2,2,1,1,low,0.25,10.0
86,10087,2,2,3,0,55,1,2,2,1,0,high,1.0,9.0
87,10088,1,1,3,0,65,2,2,2,1,0,high,1.0,9.0
88,10089,1,1,3,0,45,2,1,1,1,1,high,1.0,21.0
89,10090,1,2,3,0,30,3,10,2,1,0,low,0.5,39.0
90,10091,1,4,3,6,98,1,1,1,1,0,low,0.25,11.0
91,10092,1,3,3,0,45,2,1,1,1,0,low,0.3333333333333333,5.0
92,10093,2,3,3,6,70,3,2,2,1,0,high,0.6666666666666666,6.0
93,10094,1,1,3,0,70,2,1,1,1,0,high,1.0,15.0
94,10095,3,15,3,1,70,1,5,1,1,0,low,0.2,12.0
95,10096,1,1,3,0,45,1,1,1,1,1,high,1.0,115.0
96,10097,2,2,2,2,35,1,10,1,1,0,high,1.0,6.0
97,10098,1,1,2,0,40,3,10,2,1,0,high,1.0,27.0
98,10099,1,1,3,0,35,1,10,2,1,0,high,1.0,17.0
99,10101,1,2,3,0,45,2,1,1,1,1,low,0.5,34.0
100,10102,1,1,3,0,60,3,2,2,1,1,high,1.0,10.0
101,10103,1,2,2,0,35,2,1,1,1,1,low,0.5,14.0
102,10104,2,3,3,2,55,1,10,1,1,0,high,0.6666666666666666,31.0
103,10105,1,2,3,0,55,2,1,4,1,1,low,0.5,15.0
104,10106,1,1,3,0,55,2,2,2,1,1,high,1.0,16.0
105,10107,1,2,3,6,40,2,2,2,1,1,low,0.5,28.0
106,10108,1,3,3,2,55,2,2,2,1,0,low,0.3333333333333333,18.0
107,10109,1,3,3,2,55,1,5,1,1,0,low,0.3333333333333333,20.0
108,10110,1,1,3,0,55,1,10,1,1,0,high,1.0,12.0
109,10111,1,2,3,0,35,2,1,1,1,1,low,0.5,15.0
110,10112,1,1,3,0,55,2,1,1,1,0,high,1.0,5.0
111,10113,1,2,4,0,70,2,1,1,1,0,low,0.5,15.0
112,10114,1,2,4,1,70,2,1,1,1,1,low,0.5,5.0
113,10115,1,1,3,0,70,2,10,1,1,0,high,1.0,12.0
114,10116,1,3,3,1,70,2,1,1,1,0,low,0.3333333333333333,5.0
115,10117,1,5,3,1,70,2,10,2,1,0,low,0.2,13.0
116,10118,1,2,3,0,45,3,1,1,1,1,low,0.5,17.0
117,10119,1,2,3,2,65,2,10,2,1,0,low,0.5,26.0
118,10120,1,2,3,6,45,1,10,2,1,0,low,0.5,1.0
119,10121,1,3,3,1,55,1,1,1,1,0,low,0.3333333333333333,7.0
120,10122,1,1,3,0,30,1,10,1,1,0,high,1.0,7.0
121,10123,1,3,3,6,45,1,1,1,1,0,low,0.3333333333333333,28.0
122,10124,1,1,3,0,45,1,1,1,1,0,high,1.0,11.0
123,10125,2,4,3,0,45,1,1,1,1,0,low,0.5,13.0
124,10126,1,2,3,2,55,1,1,1,1,0,low,0.5,15.0
125,10127,2,5,3,6,45,6,10,1,1,0,low,0.4,12.0
126,10128,1,1,3,0,35,2,1,1,1,0,high,1.0,2.0
127,10129,1,3,3,6,45,1,1,1,1,0,low,0.3333333333333333,10.0
128,10130,1,3,3,2,40,1,10,1,1,0,low,0.3333333333333333,3.0
129,10131,1,2,3,0,45,2,1,1,1,0,low,0.5,3.0
130,10132,1,3,3,6,35,3,1,1,1,0,low,0.3333333333333333,62.0
131,10133,1,2,3,6,0,1,10,0,1,0,low,0.5,6.0
132,10134,1,2,3,6,55,2,10,1,1,0,low,0.5,27.0
133,10135,1,3,3,6,45,2,10,2,1,1,low,0.3333333333333333,5.0
134,10136,1,2,3,0,45,2,1,1,1,1,low,0.5,3.0
135,10137,1,2,3,0,25,5,1,1,1,0,low,0.5,17.0
136,10138,1,4,4,2,45,2,1,1,1,0,low,0.25,27.0
137,10139,1,4,4,6,65,1,10,1,1,0,low,0.25,13.0
138,10140,1,3,4,2,55,1,1,1,1,1,low,0.3333333333333333,15.0
139,10141,1,14,4,1,70,1,1,1,1,0,low,0.07142857142857142,149.0
140,10142,2,2,3,0,45,2,1,1,1,1,high,1.0,17.0
141,10143,1,2,3,2,45,3,1,1,1,2,low,0.5,4.0
142,10144,1,4,3,2,35,3,1,1,1,1,low,0.25,16.0
143,10145,1,3,3,6,45,3,1,1,1,0,low,0.3333333333333333,8.0
144,10146,1,4,3,1,65,2,1,1,1,1,low,0.25,14.0
145,10147,1,2,4,2,45,1,1,1,1,0,low,0.5,11.0
146,10148,1,2,4,0,45,1,1,1,1,0,low,0.5,18.0
147,10149,1,1,4,0,45,5,10,2,1,1,high,1.0,7.0
148,10150,1,2,4,2,55,1,1,1,1,0,low,0.5,4.0
149,10151,1,1,4,0,55,1,1,1,1,1,high,1.0,7.0
150,10152,1,2,4,2,55,4,10,1,1,0,low,0.5,16.0
151,10153,1,6,4,2,55,1,2,2,1,0,low,0.16666666666666666,10.0
152,10154,1,1,2,0,35,1,2,2,1,0,high,1.0,2.0
153,10155,1,3,3,0,45,2,1,1,1,0,low,0.3333333333333333,10.0
154,10156,1,1,4,0,70,1,1,2,1,0,high,1.0,36.0
155,10157,1,2,3,0,50,3,1,1,1,0,low,0.5,6.0
156,10158,1,3,4,6,35,5,2,2,1,0,low,0.3333333333333333,22.0
157,10159,1,1,2,0,98,1,1,1,1,0,high,1.0,12.0
158,10160,1,1,3,0,98,3,1,1,1,0,high,1.0,15.0
159,10161,1,3,3,6,65,1,1,1,1,0,low,0.3333333333333333,25.0
160,10162,1,1,4,0,30,2,1,1,1,0,high,1.0,25.0
161,10163,1,2,4,6,30,3,10,1,1,0,low,0.5,20.0
162,10164,1,2,4,0,45,1,1,1,1,0,low,0.5,16.0
163,10165,2,3,4,6,55,1,2,2,1,0,high,0.6666666666666666,5.0
164,10166,1,1,4,0,25,3,10,1,1,1,high,1.0,35.0
165,10167,1,1,4,0,45,2,10,1,1,1,high,1.0,9.0
166,10168,1,2,4,0,45,2,1,1,1,1,low,0.5,8.0
167,10169,1,3,4,6,55,1,2,2,1,0,low,0.3333333333333333,40.0
168,10170,1,4,4,6,65,3,1,1,1,0,low,0.25,37.0
169,10171,1,2,4,2,40,2,5,1,1,0,low,0.5,4.0
170,10172,1,16,4,6,45,1,1,1,1,0,low,0.0625,35.0
171,10173,1,5,4,6,55,2,1,1,1,1,low,0.2,3.0
172,10174,1,2,4,1,65,2,1,1,1,0,low,0.5,35.0
173,10175,1,2,4,0,55,1,1,1,1,0,low,0.5,34.0
174,10176,1,1,4,0,45,1,10,1,1,0,high,1.0,6.0
175,10177,1,4,4,6,0,3,2,0,1,0,low,0.25,18.0
176,10178,1,1,4,0,50,2,2,2,1,0,high,1.0,22.0
177,10179,1,2,4,6,45,1,10,1,1,0,low,0.5,33.0
178,10180,2,5,4,6,55,2,10,1,1,0,low,0.4,4.0
179,10181,1,1,4,0,55,2,10,2,1,0,high,1.0,80.0
180,10182,1,2,4,6,35,1,10,2,1,0,low,0.5,13.0
181,10183,1,1,4,0,40,3,10,1,1,0,high,1.0,13.0
182,10184,1,1,4,0,30,1,1,1,1,1,high,1.0,778.0
183,10185,1,1,4,0,40,1,1,1,1,0,high,1.0,3.0
184,10186,1,3,4,0,45,1,1,1,1,0,low,0.3333333333333333,39.0
185,10187,1,2,4,0,40,2,1,1,1,1,low,0.5,20.0
186,10188,1,4,4,2,45,1,1,1,1,1,low,0.25,20.0
187,10189,1,3,4,2,55,1,1,1,1,0,low,0.3333333333333333,18.0
188,10190,1,6,4,7,70,1,1,1,1,0,low,0.16666666666666666,8.0
189,10191,1,2,4,0,70,2,2,2,1,1,low,0.5,12.0
190,10192,1,1,4,0,70,1,1,1,1,0,high,1.0,30.0
191,10193,1,4,4,2,45,1,2,2,1,0,low,0.25,11.0
192,10194,1,2,4,6,35,1,1,1,1,1,low,0.5,10.0
193,10195,2,3,4,6,40,1,1,1,1,1,high,0.6666666666666666,9.0
194,10196,1,1,4,0,55,2,10,2,1,1,high,1.0,7.0
195,10197,1,2,4,6,0,3,10,0,1,1,low,0.5,7.0
196,10198,1,3,4,6,45,1,1,1,1,0,low,0.3333333333333333,13.0
197,10199,2,5,4,2,45,1,10,1,1,0,low,0.4,37.0
198,10200,1,4,4,6,45,1,1,1,1,0,low,0.25,20.0
199,10201,1,1,4,0,55,2,1,1,1,0,high,1.0,16.0
200,10202,1,2,4,2,70,2,1,1,1,0,low,0.5,15.0
201,10203,1,2,4,1,70,2,10,1,1,1,low,0.5,4.0
202,10204,1,3,5,0,70,2,1,1,1,0,low,0.3333333333333333,50.0
203,10205,1,2,5,0,70,2,1,1,1,1,low,0.5,10.0
204,10206,1,2,4,0,55,3,1,1,1,0,low,0.5,26.0
205,10207,1,2,4,6,30,3,2,2,1,0,low,0.5,10.0
206,10208,1,1,4,0,45,2,10,1,1,0,high,1.0,22.0
207,10209,1,2,4,6,45,1,1,1,1,0,low,0.5,17.0
208,10210,1,1,4,0,35,1,10,2,1,0,high,1.0,7.0
209,10211,1,2,4,6,35,1,1,1,1,0,low,0.5,4.0
210,10212,1,1,4,0,55,1,1,1,1,0,high,1.0,5.0
211,10213,2,3,4,2,55,2,1,1,1,0,high,0.6666666666666666,15.0
212,10214,1,3,4,6,65,2,1,1,1,1,low,0.3333333333333333,6.0
213,10215,1,1,5,0,40,3,1,1,1,0,high,1.0,10.0
214,10216,1,5,5,0,30,1,1,1,1,0,low,0.2,8.0
215,10217,1,1,5,0,50,2,1,1,1,1,high,1.0,15.0
216,10218,1,3,5,1,45,1,1,1,1,0,low,0.3333333333333333,7.0
217,10219,2,6,5,2,55,1,1,1,1,0,low,0.3333333333333333,4.0
218,10220,1,1,5,0,45,5,1,1,1,0,high,1.0,8.0
219,10221,1,2,5,0,45,1,1,1,1,0,low,0.5,10.0
220,10222,2,3,5,0,55,1,1,1,1,0,high,0.6666666666666666,14.0
221,10223,1,7,5,1,55,3,1,1,1,1,low,0.14285714285714285,25.0
222,10224,1,1,5,0,35,2,1,1,1,0,high,1.0,31.0
223,10225,1,2,4,6,55,3,1,1,1,1,low,0.5,12.0
224,10226,1,2,5,0,65,1,1,1,1,0,low,0.5,34.0
225,10227,1,1,5,0,45,1,1,1,1,0,high,1.0,117.0
226,10228,1,1,5,0,35,1,1,1,1,0,high,1.0,8.0
227,10229,1,3,5,2,45,1,1,1,1,0,low,0.3333333333333333,12.0
228,10230,1,2,5,0,70,1,1,1,1,0,low,0.5,30.0
229,10231,1,2,5,0,70,1,1,1,1,0,low,0.5,17.0
230,10232,1,4,5,0,65,3,1,1,1,0,low,0.25,9.0
231,10233,1,1,5,0,70,1,1,1,1,0,high,1.0,24.0
232,10234,1,2,5,0,70,1,1,1,1,0,low,0.5,2.0
233,10235,1,1,5,0,50,1,1,1,1,0,high,1.0,10.0
234,10236,1,1,4,0,45,1,10,1,1,0,high,1.0,23.0
235,10237,1,2,5,0,55,2,1,1,1,1,low,0.5,7.0
236,10238,1,2,5,0,65,1,1,1,1,1,low,0.5,11.0
237,10239,1,9,5,0,45,1,1,1,1,0,low,0.1111111111111111,12.0
238,10240,1,1,5,0,45,1,1,1,1,0,high,1.0,12.0
239,10241,1,3,5,6,55,1,1,1,1,0,low,0.3333333333333333,14.0
240,10242,1,1,5,0,35,2,1,1,1,1,high,1.0,7.0
241,10243,1,2,5,0,65,1,1,1,1,0,low,0.5,37.0
242,10244,1,2,5,2,45,1,1,1,1,0,low,0.5,7.0
243,10245,1,1,5,0,45,1,1,1,1,1,high,1.0,18.0
244,10246,1,1,5,0,45,2,10,1,1,0,high,1.0,12.0
245,10247,1,1,5,0,35,2,2,2,1,0,high,1.0,15.0
246,10248,1,1,5,0,25,1,1,1,1,0,high,1.0,25.0
247,10249,1,1,5,0,45,2,1,1,1,0,high,1.0,40.0
248,10250,1,3,5,2,45,1,1,1,1,0,low,0.3333333333333333,5.0
249,10251,1,7,5,6,35,1,1,1,1,0,low,0.14285714285714285,14.0
250,10252,1,2,5,0,55,1,1,1,1,0,low,0.5,15.0
251,10253,1,2,5,6,55,1,1,1,1,1,low,0.5,10.0
252,10254,1,1,5,0,55,1,1,1,1,0,high,1.0,14.0
253,10255,1,1,5,0,45,2,2,2,1,1,high,1.0,20.0
254,10256,1,1,5,0,35,5,1,1,1,0,high,1.0,6.0
255,10257,1,1,5,0,45,1,10,1,1,0,high,1.0,15.0
256,10258,1,2,5,6,55,1,10,1,1,0,low,0.5,8.0
257,10259,1,2,5,1,40,1,1,1,1,0,low,0.5,16.0
258,10260,1,1,5,0,55,1,1,1,1,0,high,1.0,14.0
259,10261,1,1,5,0,40,1,1,1,1,1,high,1.0,8.0
260,10262,1,1,5,0,25,2,10,1,1,1,high,1.0,15.0
261,10263,1,4,5,6,45,1,2,2,1,0,low,0.25,8.0
262,10264,1,1,5,0,40,3,1,1,1,0,high,1.0,8.0
263,10265,1,4,5,6,25,4,10,1,1,0,low,0.25,12.0
264,10266,1,2,5,6,0,1,1,0,1,0,low,0.5,8.0
265,10267,1,2,5,2,35,1,10,2,1,0,low,0.5,36.0
266,10268,1,1,5,0,35,1,10,2,1,0,high,1.0,4.0
267,10269,1,4,5,1,65,1,1,1,1,0,low,0.25,32.0
268,10270,1,3,5,6,40,3,10,1,1,1,low,0.3333333333333333,32.0
269,10271,1,3,5,2,50,3,1,1,1,0,low,0.3333333333333333,20.0
270,10272,1,3,5,8,60,1,10,1,1,1,low,0.3333333333333333,7.0
271,10273,1,1,5,0,45,1,1,2,1,0,high,1.0,11.0
272,10274,1,1,5,0,55,1,1,1,1,0,high,1.0,17.0
273,10275,1,3,5,0,45,1,1,1,1,1,low,0.3333333333333333,10.0
274,10276,1,1,5,0,55,5,1,1,1,1,high,1.0,15.0
275,10277,1,4,6,6,45,1,1,1,1,0,low,0.25,38.0
276,10278,1,3,6,0,70,6,10,1,1,0,low,0.3333333333333333,2.0
277,10279,1,2,6,1,70,1,2,2,1,0,low,0.5,16.0
278,10280,1,4,6,1,70,2,1,1,1,1,low,0.25,7.0
279,10281,1,3,6,0,70,1,1,1,1,0,low,0.3333333333333333,10.0
280,10282,1,1,4,0,35,2,10,1,1,0,high,1.0,25.0
281,10283,1,1,5,0,45,2,1,1,1,1,high,1.0,15.0
282,10284,1,5,5,6,55,1,1,1,1,0,low,0.2,11.0
283,10285,1,4,5,1,55,1,10,1,1,0,low,0.25,30.0
284,10286,1,7,5,6,50,1,1,1,1,0,low,0.14285714285714285,20.0
285,10287,1,2,6,2,35,1,5,1,1,0,low,0.5,16.0
286,10288,1,4,5,0,65,3,1,1,1,0,low,0.25,5.0
287,10289,1,1,6,0,25,3,1,1,1,0,high,1.0,10.0
288,10290,2,2,6,2,55,1,1,1,1,0,high,1.0,15.0
289,10291,1,1,6,0,55,2,1,1,1,0,high,1.0,21.0
290,10292,1,1,6,0,55,2,1,1,1,0,high,1.0,10.0
291,10293,1,2,6,0,55,1,1,1,1,0,low,0.5,9.0
292,10294,1,1,6,0,35,2,1,1,1,0,high,1.0,19.0
293,10295,1,1,6,0,45,4,99,1,1,0,high,1.0,7.0
294,10296,1,1,6,0,35,1,10,1,1,1,high,1.0,4.0
295,10297,2,2,6,2,45,1,2,2,1,0,high,1.0,40.0
296,10298,1,1,6,0,50,1,10,1,1,0,high,1.0,10.0
297,10299,1,2,6,2,55,1,2,2,1,1,low,0.5,6.0
298,10300,1,2,6,0,50,3,1,1,1,0,low,0.5,9.0
299,10301,1,2,6,0,45,2,10,1,1,1,low,0.5,10.0
300,10302,1,1,6,0,45,2,1,1,1,1,high,1.0,10.0
301,10303,1,4,6,6,0,3,1,0,1,2,low,0.25,8.0
302,10304,1,7,6,1,65,2,10,1,1,1,low,0.14285714285714285,5.0
303,10305,1,2,6,0,70,1,1,1,1,0,low,0.5,16.0
304,10306,1,2,6,1,70,1,1,1,1,0,low,0.5,11.0
305,10307,1,1,6,0,55,1,1,1,1,1,high,1.0,15.0
306,10308,2,5,6,0,60,2,1,1,1,0,low,0.4,14.0
307,10309,1,2,6,2,55,4,1,1,1,0,low,0.5,11.0
308,10310,1,1,6,0,25,1,10,1,1,0,high,1.0,12.0
309,10311,1,1,6,0,35,2,10,1,1,1,high,1.0,13.0
310,10312,1,1,6,0,45,3,1,1,1,1,high,1.0,24.0
311,10313,1,1,6,0,35,1,1,1,1,1,high,1.0,6.0
312,10314,1,2,6,1,50,1,1,1,1,1,low,0.5,12.0
313,10315,1,1,1,0,55,2,1,1,1,0,high,1.0,6.0
314,10316,2,3,5,0,45,1,2,2,1,0,high,0.6666666666666666,20.0
315,10317,1,2,7,0,70,1,2,2,1,0,low,0.5,8.0
316,10318,1,1,6,0,70,2,10,1,1,0,high,1.0,32.0
317,10319,1,3,6,2,35,2,1,1,1,0,low,0.3333333333333333,15.0
318,10320,1,3,6,6,45,1,1,1,1,0,low,0.3333333333333333,20.0
319,10321,1,3,6,6,45,1,1,1,1,0,low,0.3333333333333333,8.0
320,10322,1,4,6,6,70,1,1,1,1,0,low,0.25,5.0
321,10323,1,2,6,0,55,2,1,1,1,0,low,0.5,14.0
322,10324,1,2,6,99,98,1,1,1,1,0,low,0.5,13.0
323,10325,1,2,6,0,55,1,1,1,1,0,low,0.5,40.0
324,10326,1,2,6,0,45,1,1,1,1,0,low,0.5,16.0
325,10327,1,2,6,0,35,2,1,1,1,1,low,0.5,8.0
326,10328,1,1,6,0,45,2,1,1,1,1,high,1.0,6.0
327,10329,1,2,6,6,55,1,1,1,1,0,low,0.5,10.0
328,10330,1,2,6,0,55,1,1,1,1,0,low,0.5,19.0
329,10331,1,1,6,0,45,2,10,1,1,0,high,1.0,28.0
330,10332,1,2,6,6,65,1,5,1,1,0,low,0.5,10.0
331,10333,1,2,6,6,55,1,2,2,1,0,low,0.5,18.0
332,10334,1,1,6,0,35,1,10,2,1,1,high,1.0,3.0
333,10335,1,1,6,0,25,1,1,2,1,1,high,1.0,5.0
334,10336,1,2,6,0,35,1,1,1,1,0,low,0.5,7.0
335,10337,1,8,7,6,30,1,10,2,1,0,low,0.125,10.0
336,10338,1,1,7,0,55,1,1,1,1,0,high,1.0,10.0
337,10339,1,2,7,2,35,1,10,1,1,0,low,0.5,15.0
338,10340,1,1,7,0,45,1,10,1,1,0,high,1.0,4.0
339,10341,1,1,6,0,55,2,10,2,1,0,high,1.0,7.0
340,10342,1,6,7,8,45,1,10,1,1,0,low,0.16666666666666666,18.0
341,10343,1,18,7,1,65,1,1,1,1,0,low,0.05555555555555555,12.0
342,10344,1,2,7,0,60,1,1,1,1,0,low,0.5,12.0
343,10345,1,1,6,0,70,4,1,1,1,0,high,1.0,13.0
344,10346,1,1,5,0,25,3,1,1,1,1,high,1.0,15.0
345,10347,1,2,5,2,55,1,1,1,1,0,low,0.5,4.0
346,10348,3,5,6,2,55,1,1,1,1,1,high,0.6,13.0
347,10349,1,6,6,6,45,1,1,1,1,0,low,0.16666666666666666,19.0
348,10350,1,2,6,6,40,3,1,1,1,0,low,0.5,4.0
349,10351,1,2,7,0,40,1,1,1,1,1,low,0.5,5.0
350,10352,1,2,7,2,50,1,1,1,1,0,low,0.5,5.0
351,10353,1,2,7,1,55,1,1,1,1,1,low,0.5,730.0
352,10354,1,3,7,0,55,1,2,2,1,0,low,0.3333333333333333,51.0
353,10355,1,1,7,0,45,1,10,2,1,1,high,1.0,5.0
354,10356,1,3,7,2,45,2,10,2,1,0,low,0.3333333333333333,7.0
355,10357,1,1,7,0,55,3,1,1,1,0,high,1.0,22.0
356,10358,2,3,7,0,55,3,1,1,1,0,high,0.6666666666666666,6.0
357,10359,1,2,7,6,0,1,1,0,1,0,low,0.5,9.0
358,10360,2,4,7,2,50,1,1,1,1,0,low,0.5,745.0
359,10361,1,1,7,0,45,2,1,1,1,0,high,1.0,51.0
360,10362,1,2,7,0,65,3,1,1,1,1,low,0.5,15.0
361,10363,1,2,7,0,50,2,1,1,1,0,low,0.5,15.0
362,10364,1,2,7,1,60,4,1,1,1,0,low,0.5,5.0
363,10365,1,2,7,0,50,2,1,1,1,0,low,0.5,5.0
364,10366,1,3,7,0,55,1,1,1,1,0,low,0.3333333333333333,22.0
365,10367,1,1,7,0,45,1,1,1,1,1,high,1.0,9.0
366,10368,1,3,7,6,45,3,1,1,1,1,low,0.3333333333333333,4.0
367,10369,1,1,7,0,55,2,1,1,1,0,high,1.0,15.0
368,10370,1,3,7,6,40,1,10,1,1,0,low,0.3333333333333333,5.0
369,10371,1,2,7,2,55,1,1,1,1,0,low,0.5,20.0
370,10372,1,2,7,1,45,2,1,1,1,2,low,0.5,9.0
371,10373,1,2,7,2,45,1,10,1,1,0,low,0.5,12.0
372,10374,1,2,7,6,45,1,1,1,1,0,low,0.5,2.0
373,10375,1,4,7,0,70,1,1,1,1,0,low,0.25,16.0
374,10376,1,1,7,0,70,1,5,1,1,0,high,1.0,19.0
375,10377,1,3,5,2,45,1,1,1,1,0,low,0.3333333333333333,29.0
376,10378,1,1,6,0,35,2,2,2,1,1,high,1.0,23.0
377,10379,1,1,7,0,45,1,10,1,1,0,high,1.0,15.0
378,10380,1,2,7,0,35,3,1,1,1,0,low,0.5,41.0
379,10381,1,1,7,0,55,2,10,1,1,0,high,1.0,20.0
380,10382,1,1,7,0,55,1,10,1,1,0,high,1.0,6.0
381,10383,1,1,7,0,55,1,1,1,1,1,high,1.0,6.0
382,10384,1,7,7,2,55,1,1,1,1,0,low,0.14285714285714285,30.0
383,10385,1,2,7,6,55,1,1,1,1,0,low,0.5,15.0
384,10386,1,9,7,6,45,1,2,2,1,0,low,0.1111111111111111,15.0
385,10387,1,3,7,6,40,5,1,1,1,0,low,0.3333333333333333,6.0
