,ST_CASE,FATALS,PERSONS,MONTH,MAN_COLL,VSPD_LIM,LGT_COND,WEATHER,VSURCOND,STATE,DRUNK_DR,rate,rate_numerical,arrival_time
22919,400363,1,2,7,0,40,3,10,1,40,0,low,0.5,
22920,400364,1,1,9,0,45,2,1,1,40,1,high,1.0,
22921,400365,1,11,7,1,65,1,10,1,40,0,low,0.09090909090909091,
22922,400366,1,2,8,1,55,1,1,1,40,0,low,0.5,
22923,400367,2,3,9,0,50,2,1,1,40,1,high,0.6666666666666666,
22924,400368,1,2,9,0,55,1,2,2,40,0,low,0.5,
22925,400369,2,5,7,2,75,1,10,1,40,1,low,0.4,
22926,400370,1,2,9,0,55,1,1,1,40,1,low,0.5,
22927,400371,1,2,8,1,55,1,10,1,40,0,low,0.5,
22928,400372,1,1,8,0,65,2,1,1,40,0,high,1.0,
22929,400373,1,1,8,0,65,1,10,1,40,0,high,1.0,
22930,400374,1,1,9,0,55,1,10,1,40,0,high,1.0,
22931,400375,1,1,9,0,45,2,1,1,40,1,high,1.0,
22932,400376,1,4,9,6,65,1,1,1,40,0,low,0.25,
22933,400377,1,9,9,6,65,1,1,1,40,0,low,0.1111111111111111,
22934,400378,1,3,9,6,65,1,1,1,40,0,low,0.3333333333333333,
22935,400379,1,1,9,0,65,2,1,1,40,0,high,1.0,
22936,400380,1,4,7,6,35,1,10,1,40,0,low,0.25,
22937,400381,1,1,7,0,55,4,1,1,40,0,high,1.0,
22938,400382,1,2,5,2,60,3,1,1,40,1,low,0.5,
22939,400383,1,3,9,0,65,1,1,1,40,0,low,0.3333333333333333,
22940,400384,1,2,9,0,70,1,1,1,40,0,low,0.5,
22941,400385,1,3,9,0,65,1,1,1,40,0,low,0.3333333333333333,
22942,400386,2,4,9,0,55,1,1,1,40,1,low,0.5,
22943,400387,1,2,9,6,65,4,1,1,40,0,low,0.5,
22944,400388,1,2,9,6,65,1,1,1,40,0,low,0.5,
22945,400389,1,1,9,0,60,2,5,1,40,0,high,1.0,
22946,400390,1,1,8,0,35,2,1,1,40,1,high,1.0,
22947,400391,1,2,9,1,65,3,1,1,40,0,low,0.5,
22948,400392,2,2,7,1,75,2,10,1,40,0,high,1.0,
22949,400393,1,1,8,0,45,1,1,1,40,0,high,1.0,
22950,400394,1,2,7,6,70,1,1,1,40,0,low,0.5,
22951,400395,1,3,9,2,65,1,1,1,40,0,low,0.3333333333333333,
22952,400396,1,5,9,6,55,1,1,1,40,0,low,0.2,
22953,400397,1,3,9,6,40,3,1,1,40,0,low,0.3333333333333333,
22954,400398,1,1,9,0,65,1,1,1,40,1,high,1.0,
22955,400399,1,3,9,2,55,1,10,1,40,0,low,0.3333333333333333,
22956,400400,1,2,9,0,45,1,1,1,40,0,low,0.5,
22957,400401,1,3,9,2,65,1,1,1,40,1,low,0.3333333333333333,
22958,400402,1,1,9,0,65,1,1,1,40,0,high,1.0,
22959,400403,1,5,9,6,65,1,10,1,40,0,low,0.2,
22960,400404,1,2,9,1,70,2,1,1,40,1,low,0.5,
22961,400405,1,1,9,0,30,4,1,1,40,0,high,1.0,
22962,400406,1,1,9,0,65,1,1,1,40,0,high,1.0,
22963,400407,1,3,9,6,65,1,10,1,40,0,low,0.3333333333333333,
22964,400408,1,4,9,2,70,2,1,1,40,0,low,0.25,
22965,400409,1,2,9,0,45,5,1,1,40,1,low,0.5,
22966,400410,1,5,9,0,50,2,1,1,40,0,low,0.2,
22967,400411,1,1,10,0,55,1,1,1,40,0,high,1.0,
22968,400412,1,3,6,7,60,1,1,1,40,1,low,0.3333333333333333,
22969,400413,1,1,9,0,55,1,1,1,40,0,high,1.0,
22970,400414,2,2,10,2,65,2,10,1,40,1,high,1.0,
22971,400415,1,8,10,1,45,3,1,1,40,0,low,0.125,
22972,400416,2,2,10,0,50,3,1,1,40,0,high,1.0,
22973,400417,1,3,9,0,65,2,1,1,40,0,low,0.3333333333333333,
22974,400418,1,1,10,0,45,3,10,1,40,1,high,1.0,
22975,400419,1,4,7,1,65,1,1,1,40,0,low,0.25,
22976,400420,1,1,10,0,45,1,1,1,40,1,high,1.0,
22977,400421,1,1,7,0,35,1,2,2,40,0,high,1.0,
22978,400422,1,1,8,0,75,1,1,1,40,0,high,1.0,
22979,400423,1,1,7,0,40,1,10,1,40,0,high,1.0,
22980,400424,1,1,10,0,25,2,1,1,40,1,high,1.0,
22981,400425,1,2,7,0,65,1,2,2,40,0,low,0.5,
22982,400426,1,3,7,6,45,1,1,1,40,1,low,0.3333333333333333,
22983,400427,1,3,9,7,55,2,10,1,40,0,low,0.3333333333333333,
22984,400428,1,1,8,0,55,1,1,1,40,0,high,1.0,
22985,400429,1,2,8,0,45,5,10,1,40,1,low,0.5,
22986,400430,1,1,9,0,70,2,1,1,40,1,high,1.0,
22987,400431,1,5,10,6,55,1,1,1,40,0,low,0.2,
22988,400432,1,3,10,1,35,2,10,1,40,0,low,0.3333333333333333,
22989,400433,1,4,10,6,50,2,10,1,40,1,low,0.25,
22990,400434,1,1,7,0,40,1,1,1,40,1,high,1.0,
22991,400435,1,1,7,0,65,1,1,1,40,0,high,1.0,
22992,400436,1,3,10,0,40,2,1,1,40,1,low,0.3333333333333333,
22993,400437,1,2,10,0,55,1,1,1,40,0,low,0.5,
22994,400438,1,1,10,0,65,3,1,1,40,0,high,1.0,
22995,400439,1,2,10,6,65,1,10,1,40,0,low,0.5,
22996,400440,1,2,10,2,65,2,1,1,40,0,low,0.5,
22997,400441,1,1,10,0,40,2,1,1,40,1,high,1.0,
22998,400442,1,4,10,6,40,1,1,1,40,0,low,0.25,
