,ST_CASE,FATALS,PERSONS,MONTH,MAN_COLL,SP_LIMIT,LGT_COND,WEATHER,SUR_COND,STATE,DRUNK_DR,rate,rate_numerical,arrival_time
23333,360820,1,2,6,0,45,2,2,2,36,0,low,0.5,
23334,360821,1,2,10,2,55,1,1,1,36,0,low,0.5,
23335,360822,1,1,10,0,99,3,1,1,36,0,high,1.0,
23336,360823,1,1,10,0,65,2,2,2,36,0,high,1.0,
23337,360824,1,1,10,0,55,2,1,1,36,0,high,1.0,
23338,360825,1,1,10,0,55,1,1,1,36,0,high,1.0,
23339,360826,1,2,10,0,30,1,1,1,36,0,low,0.5,
23340,360827,1,1,10,0,55,2,1,1,36,0,high,1.0,
23341,360828,1,2,8,0,99,3,2,2,36,0,low,0.5,
23342,360829,1,2,7,0,99,3,1,1,36,0,low,0.5,
23343,360830,1,1,9,0,55,2,1,1,36,1,high,1.0,
23344,360831,1,2,10,0,30,1,2,2,36,0,low,0.5,
23345,360832,1,2,8,2,99,3,1,1,36,1,low,0.5,
23346,360833,1,4,10,2,45,3,1,1,36,0,low,0.25,
23347,360834,1,1,10,0,45,1,1,1,36,0,high,1.0,
23348,360835,1,7,10,0,65,4,1,1,36,1,low,0.14285714285714285,
23349,360836,2,3,10,5,99,3,2,2,36,0,high,0.6666666666666666,
23350,360837,1,3,9,0,99,3,1,1,36,0,low,0.3333333333333333,
23351,360838,1,1,10,0,55,2,1,1,36,0,high,1.0,
23352,360839,1,2,8,1,99,3,1,1,36,1,low,0.5,
23353,360840,1,3,9,5,99,3,1,1,36,1,low,0.3333333333333333,
23354,360841,1,2,10,0,55,1,1,1,36,0,low,0.5,
23355,360842,1,2,8,1,99,3,2,2,36,0,low,0.5,
23356,360843,1,1,10,0,65,1,1,1,36,0,high,1.0,
23357,360844,1,1,9,0,55,1,1,1,36,0,high,1.0,
23358,360845,1,3,10,0,65,2,1,2,36,0,low,0.3333333333333333,
23359,360846,1,1,9,0,99,1,1,1,36,0,high,1.0,
23360,360847,1,1,10,0,55,2,1,1,36,0,high,1.0,
23361,360848,1,2,7,5,99,1,1,1,36,0,low,0.5,
23362,360849,1,2,9,1,45,3,1,1,36,1,low,0.5,
23363,360850,1,4,8,0,99,3,1,1,36,1,low,0.25,
23364,360851,1,2,2,0,99,4,1,1,36,0,low,0.5,
23365,360852,1,5,10,0,65,1,1,1,36,0,low,0.2,
23366,360853,1,2,9,0,99,3,1,1,36,0,low,0.5,
23367,360854,1,2,9,0,30,3,1,1,36,0,low,0.5,
23368,360855,1,1,8,0,55,3,1,1,36,1,high,1.0,
23369,360856,1,2,9,0,40,3,1,1,36,1,low,0.5,
23370,360857,1,4,10,0,30,3,1,2,36,1,low,0.25,
23371,360858,1,2,8,5,40,3,1,1,36,0,low,0.5,
23372,360859,1,1,10,0,50,3,1,1,36,1,high,1.0,
23373,360860,3,4,9,0,55,2,1,1,36,1,high,0.75,
23374,360861,1,2,8,5,40,1,1,1,36,0,low,0.5,
23375,360862,1,2,9,4,65,1,1,1,36,1,low,0.5,
23376,360863,1,1,9,0,30,3,2,2,36,1,high,1.0,
23377,360865,1,2,10,0,55,1,1,2,36,2,low,0.5,
23378,360866,2,5,8,3,65,1,1,1,36,0,low,0.4,
23379,360867,1,2,10,0,45,3,2,2,36,0,low,0.5,
23380,360868,1,3,9,5,45,1,1,1,36,1,low,0.3333333333333333,
23381,360869,1,1,9,0,55,1,1,1,36,0,high,1.0,
23382,360870,1,2,10,0,30,1,1,1,36,0,low,0.5,
23383,360871,1,1,10,0,40,3,1,1,36,1,high,1.0,
23384,360872,1,1,10,0,45,1,1,1,36,0,high,1.0,
23385,360873,1,3,10,5,30,1,1,1,36,0,low,0.3333333333333333,
23386,360874,1,1,8,0,99,1,1,1,36,0,high,1.0,
23387,360875,1,3,10,0,30,3,2,2,36,1,low,0.3333333333333333,
